date,universe,n,adv,dec,up_vol,dn_vol,up4,dn4,up25q,dn25q,up13_34,dn13_34,nh,nl,p_ab20,p_ab40,p_ab50,p_ab200,p_stack,p_s1,p_s2,p_s3,p_s4
2024-08-22,nasdaq,2783,835,1812,236,293,51,109,290,638,706,663,31,21,52.02,45.17,46.82,45.46,37.37,16.44,40.88,4.64,38.04
2024-08-22,r2000,1855,496,1299,106,162,22,71,178,199,561,220,21,9,53.86,53.9,57.72,59.25,46.29,17.82,55.34,3.91,22.94
2024-08-22,scan,188,62,124,10,11,1,2,31,0,107,0,3,0,89.36,99.47,100.0,100.0,94.15,0.0,100.0,0.0,0.0
2024-08-22,sp500,499,205,291,25,42,0,8,9,6,108,26,31,0,81.76,72.95,72.34,77.82,61.92,12.5,74.6,3.23,9.68
2024-08-23,all,3907,3174,608,841,178,549,18,447,630,1176,651,189,16,72.61,61.23,61.47,56.58,46.51,12.6,51.3,5.32,30.78
2024-08-23,nasdaq,2783,2138,527,601,154,374,15,371,596,816,604,83,14,67.53,54.83,55.22,48.97,40.68,13.63,43.2,5.84,37.33
2024-08-23,r2000,1855,1708,115,488,39,399,4,254,163,683,185,101,2,78.25,68.11,69.16,64.96,52.2,13.04,59.63,5.34,22.0
2024-08-23,scan,186,177,9,34,2,55,0,41,0,103,0,13,0,97.31,98.92,100.0,100.0,94.62,0.0,100.0,0.0,0.0
2024-08-23,sp500,499,428,70,72,10,22,1,16,6,136,18,59,0,91.18,80.56,79.56,80.24,65.13,10.69,76.41,3.83,9.07
2024-08-26,all,3909,1863,1894,508,360,107,45,452,617,1216,640,118,13,73.56,60.92,61.3,56.67,49.03,12.46,51.26,5.48,30.8
2024-08-26,nasdaq,2785,1245,1404,361,277,91,40,375,585,830,598,48,12,68.04,54.97,54.94,49.07,42.73,13.48,43.09,6.07,37.36
2024-08-26,r2000,1855,933,865,265,180,61,19,259,157,721,171,56,2,79.94,67.84,69.76,64.91,56.21,12.7,59.87,5.06,22.37
2024-08-26,scan,193,76,116,15,14,1,2,44,0,109,0,5,0,97.93,98.96,100.0,100.0,97.41,0.0,100.0,0.0,0.0
2024-08-26,sp500,499,262,235,33,21,0,1,15,6,141,22,40,0,91.18,78.96,77.56,80.65,66.93,10.69,76.61,4.03,8.67
2024-08-27,all,3909,1367,2368,312,323,58,76,529,592,1079,702,61,17,71.25,58.24,59.44,55.93,49.99,13.13,50.97,5.03,30.88
2024-08-27,nasdaq,2785,941,1691,239,249,46,65,419,556,742,651,28,14,65.48,51.99,53.02,48.51,43.79,14.04,42.98,5.62,37.36
2024-08-27,r2000,1855,550,1245,117,143,26,43,303,158,633,197,23,5,77.29,64.37,67.26,63.87,57.18,13.47,59.43,4.45,22.65
2024-08-27,scan,192,70,120,6,7,2,5,54,0,95,0,0,0,98.96,98.44,100.0,100.0,97.92,0.0,100.0,0.0,0.0
2024-08-27,sp500,499,246,252,31,29,3,3,27,7,119,27,28,0,89.38,77.96,76.75,80.04,68.34,11.69,76.41,3.63,8.27
2024-08-28,all,3910,1231,2515,264,424,47,150,463,644,747,861,72,47,68.22,55.04,57.16,54.34,50.37,14.32,49.78,4.63,31.28
2024-08-28,nasdaq,2786,834,1814,191,315,39,128,365,604,546,773,26,44,61.69,48.04,50.25,46.75,43.9,15.24,41.78,5.05,37.93
2024-08-28,r2000,1855,607,1184,125,186,24,76,267,170,415,281,27,10,76.05,61.78,65.26,62.77,57.94,14.46,58.22,4.56,22.76
2024-08-28,scan,203,59,144,4,14,1,4,51,0,66,0,3,0,99.01,98.52,100.0,100.0,98.52,0.0,100.0,0.0,0.0
2024-08-28,sp500,499,205,289,30,30,1,5,21,8,80,28,35,0,86.77,77.15,76.15,78.83,69.14,12.9,75.0,3.83,8.27
2024-08-29,all,3912,2408,1308,434,235,123,45,492,618,691,907,93,38,71.48,57.5,59.1,55.51,50.5,13.55,50.65,4.92,30.88
2024-08-29,nasdaq,2788,1619,1001,303,190,102,42,382,578,512,817,35,36,65.12,50.82,52.43,47.98,43.82,14.53,42.49,5.58,37.4
2024-08-29,r2000,1855,1289,490,216,87,62,17,289,160,388,294,43,7,80.37,64.7,67.26,63.54,58.32,13.85,58.82,4.73,22.59
2024-08-29,scan,191,116,73,11,5,2,4,48,0,45,1,2,0,99.48,98.95,100.0,100.0,98.43,0.0,100.0,0.0,0.0
2024-08-29,sp500,499,330,169,45,25,9,5,27,9,73,29,34,2,87.58,77.76,77.96,79.64,69.74,12.3,75.81,3.83,8.06
2024-08-30,all,3912,2446,1293,679,326,74,55,584,583,653,926,136,26,73.0,58.97,60.48,56.28,51.16,12.97,51.55,4.82,30.67
2024-08-30,nasdaq,2788,1621,1021,374,236,68,45,443,547,466,837,44,22,66.5,52.08,53.47,48.45,44.57,14.34,42.98,5.58,37.1
2024-08-30,r2000,1855,1192,603,278,157,32,31,354,146,342,308,52,6,81.77,65.84,68.89,64.31,59.51,13.14,59.92,4.4,22.54
2024-08-30,scan,199,148,48,26,13,7,0,63,0,35,1,1,0,99.5,98.49,100.0,100.0,97.99,0.0,100.0,0.0,0.0
